Imagem,Produto Extraído,Marca Extraída,EAN Inferido,Status Inferência
1000.jpg,Azeite,OLIVIA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
801.jpg,Peito,Sadia,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
802.jpg,Frango em Cubos,Sadia,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
803.jpg,Batata,Mais,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
804.jpg,"(Não especificado no texto, apenas ""Whisky"")",Scotch & Co,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
805.jpg,Detergente,Omo,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
806.jpg,Smirnoff Vodka,Smirnoff,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
807.jpg,Leite em Pó,Sericina,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
808.jpg,CARIO CA,FEIO CA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
809.jpg,Azeite Extra Virgem,Extra,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
810.jpg,Corona,Corona,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
811.jpg,PICANHA,PICANHA ARGENTINA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
812.jpg,Não identificada,Não identificada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
813.jpg,Creme de Leite Lactol,Lactol,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
814.jpg,Leite Condensado Morangos,Parmalat,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
815.jpg,NÃO INFORMADA,NÃO INFORMADA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
816.jpg,Bis Oreo Chocolate,Oreo,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
817.jpg,Frango,Frango,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
818.jpg,Tomate,Não identificada (imagem desfocada),NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
819.jpg,Limpa Carro,Rede,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
820.jpg,Açúcar Refinado,Cristal,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
821.jpg,Ovos,Ovos,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
822.jpg,Alface,Rede,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
823.jpg,Massas de Pão,PAMPOS,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
824.jpg,Creme de Corpo,O Boticário,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
825.jpg,Peito de Frango,Somme,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
826.jpg,Não identificada,Não identificada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
827.jpg,N/A,Mussarela,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
828.jpg,Massa de Pizza,Massa de Sourdé,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
829.jpg,Café,Café D'ric,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
830.jpg,Capsulas de Café,Cappuccino,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
831.jpg,Café Torrado e Moído,Santa Coffee,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
832.jpg,Lenços Umedecidos,Intimina,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
833.jpg,TP395g,Nestlé,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
834.jpg,Diversão,Natilla,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
835.jpg,N/A (não especificado no texto),Natilla,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
836.jpg,Ovos,Ovos,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
837.jpg,ÓLEO,OLEO VILA HELHA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
838.jpg,(Não especificado no texto),KROÉRIA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
839.jpg,Queijo Parmesão Limão,Queijo Parmesão,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
840.jpg,Salsichão,Lactalis,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
841.jpg,Água Gaseificada,Gaseif,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
842.jpg,Não especificado no texto.,Mallory,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
843.jpg,CREME,MOCOCA,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
844.jpg,Massa de Pizza Congelada,REZENE,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
845.jpg,Mussarela,Mussarela,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
846.jpg,Amor em Flor,O Boticário,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
847.jpg,Mussarela de Queijo,Treviso,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
848.jpg,Tomates Cereja,Bresso,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
849.jpg,Granulado de Arroz,Sergio,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
850.jpg,Rações,Pedigree,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
851.jpg,Água Sanitária,Drago,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
852.jpg,Arroz Tipo 1,Arroz União,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
853.jpg,Azeitona,Aceitona S/,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
854.jpg,Macarão,Dielva,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
855.jpg,(Não especificado no texto),Galicia,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
856.jpg,Nescafé,Cafea,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
857.jpg,Não especificado,"3,30",NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
858.jpg,Ovos,Não identificada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
859.jpg,Peito de Frango,Copacabana,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
860.jpg,Gold,Princess,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
861.jpg,Feijão,Feijão,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
862.jpg,Feijão,Chefe,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
863.jpg,(Informação não especificada no texto),Monster,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
864.jpg,Caju,Caju,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
865.jpg,Manteiga Cremosa,Lider,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
866.jpg,"(Informação não especificada no texto, provavelmente referente a um produto específico da linha Baby)",Mônica,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
867.jpg,T1,Rommel,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
868.jpg,ACUCAR,ACUCAR,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
869.jpg,Não especificado,Massa,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
870.jpg,Cápsulas de Café,NESPRESSO,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
871.jpg,Não especificado no texto,Piracanjuba,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
872.jpg,250g,Melitta,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
873.jpg,Crackers,Marilan,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
874.jpg,Não especificado no texto.,LEITE UVIT,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
875.jpg,Frango em Cubos,Bovina,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
876.jpg,Batata,Não informada,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
877.jpg,Salmão,Aurora,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
878.jpg,Ovos caipiras,ASSAI,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
879.jpg,Tomates Cereja,[Não identificada no texto],NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
880.jpg,Leite Integral,Leite,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
881.jpg,Cebola,Não identificada no texto.,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
882.jpg,Não especificado,Dale,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
883.jpg,Biscoito Maizena,Maizena,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
884.jpg,Repel Gel contra Mosquitos,Repel,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
885.jpg,(Não identificado no texto),(Não identificada no texto),NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
886.jpg,Não especificado,Victoria Plast,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
887.jpg,Chave,Gold,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
888.jpg,Chocolate,BEL,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
889.jpg,(Informação não presente no texto),BLACK,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
890.jpg,Torneira,CasaOK,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
891.jpg,"(Não especificado no texto, apenas ""Higiênica"")",OK,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
892.jpg,Kit,Casa OK,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
893.jpg,(não identificado no texto fornecido),(não identificada no texto fornecido),NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
894.jpg,(Não especificado no texto),OK,NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
895.jpg,Banana,Não identificada (texto ilegível),NÃO ENCONTRADO,Base de Dados Inválida para Fuzzy Match
